,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,class_val
24,"0     0.279069
1     0.279069
2     0.707552
3    -0.698897
4    -0.698897
        ...   
95   -0.254714
96   -0.046718
97    1.631407
98    1.631407
99    1.122589
Length: 100, dtype: float64","0    -0.110199
1    -0.110199
2    -0.031651
3     0.107003
4     0.107003
        ...   
95    5.656571
96    3.941606
97   -0.557420
98   -0.557420
99   -2.408135
Length: 100, dtype: float64","0     0.142979
1     0.142979
2     0.919129
3    -0.401695
4    -0.401695
        ...   
95    0.099775
96    0.998627
97    0.566748
98    0.566748
99    0.015799
Length: 100, dtype: float64","0    -0.026634
1    -0.026634
2    -0.631219
3    -0.274327
4    -0.274327
        ...   
95   -0.247694
96    0.159802
97   -0.548655
98   -0.548655
99   -0.330258
Length: 100, dtype: float64","0    -0.010653
1    -0.010653
2     0.290308
3     0.215733
4     0.215733
        ...   
95   -0.101208
96   -0.095881
97    0.713784
98    0.713784
99    0.439456
Length: 100, dtype: float64","0     0.077238
1     0.077238
2     0.122515
3     0.250357
4     0.250357
        ...   
95    0.423476
96   -1.012082
97   -2.325124
98   -2.325124
99   -1.749836
Length: 100, dtype: float64",walking
25,"0    -0.185181
1    -0.185181
2    -1.319727
3    -0.921034
4    -0.393262
        ...   
95   -0.464765
96   -1.269370
97   -1.051951
98   -0.284252
99    0.953456
Length: 100, dtype: float64","0     0.059288
1     0.059288
2    -1.194247
3    -1.930862
4    -2.575440
        ...   
95   -3.340164
96   -4.013459
97   -3.027597
98   -2.015142
99   -0.873585
Length: 100, dtype: float64","0     0.250270
1     0.250270
2     0.418052
3     1.943855
4     0.863110
        ...   
95    0.668373
96    0.604373
97    0.391306
98    0.130439
99   -0.156042
Length: 100, dtype: float64","0     0.154476
1     0.154476
2     0.047941
3    -0.018644
4    -0.151812
        ...   
95   -0.298298
96   -0.284981
97    0.055931
98    0.545991
99    1.033389
Length: 100, dtype: float64","0     0.167792
1     0.167792
2    -0.215733
3    -0.375536
4    -0.300961
        ...   
95    0.292971
96    0.250357
97    0.039951
98   -0.202416
99   -0.290308
Length: 100, dtype: float64","0     0.732428
1     0.732428
2    -0.050604
3    -0.061258
4     0.530011
        ...   
95   -1.121280
96   -0.298298
97    0.287644
98    0.894893
99    1.241132
Length: 100, dtype: float64",walking
26,"0    -0.761604
1    -0.761604
2     0.121078
3    -0.548465
4    -0.227072
        ...   
95    2.419921
96    2.594112
97   -0.202274
98   -0.202274
99   -0.968219
Length: 100, dtype: float64","0     0.260125
1     0.260125
2    -1.423255
3    -2.297265
4    -1.277432
        ...   
95    0.215186
96   -2.379448
97   -3.376169
98   -3.376169
99   -4.849326
Length: 100, dtype: float64","0    -0.064487
1    -0.064487
2     0.075600
3     0.170656
4     0.145531
        ...   
95    0.251052
96    0.092206
97   -0.977995
98   -0.977995
99   -1.453264
Length: 100, dtype: float64","0     0.069248
1     0.069248
2    -0.282318
3    -0.053267
4     0.383526
        ...   
95   -0.348902
96   -0.580615
97   -0.788358
98   -0.788358
99   -0.601922
Length: 100, dtype: float64","0     0.242367
1     0.242367
2    -0.332922
3    -0.444783
4    -0.450110
        ...   
95    0.601922
96    0.780368
97    0.980121
98    0.980121
99    0.239704
Length: 100, dtype: float64","0    -0.007990
1    -0.007990
2     0.239704
3     0.700467
4     0.982784
        ...   
95   -2.381055
96   -2.279847
97   -1.408924
98   -1.408924
99    0.338248
Length: 100, dtype: float64",walking
27,"0    -0.255266
1    -0.255266
2    -0.792226
3     0.490267
4     1.240727
        ...   
95    1.915769
96    0.484056
97   -1.194583
98   -1.129961
99   -1.171982
Length: 100, dtype: float64","0    -0.154748
1    -0.154748
2    -1.176848
3    -1.260424
4    -1.216359
        ...   
95   -1.225479
96   -2.927679
97   -3.492865
98   -3.204208
99   -2.054632
Length: 100, dtype: float64","0    -0.273293
1    -0.273293
2    -0.709993
3    -1.722160
4    -0.821199
        ...   
95   -1.285987
96   -0.971686
97   -0.247540
98   -0.261402
99   -0.306578
Length: 100, dtype: float64","0    -0.050604
1    -0.050604
2    -0.237040
3     0.913537
4     0.940171
        ...   
95   -1.704558
96   -0.332922
97   -0.956151
98   -0.255684
99   -0.498051
Length: 100, dtype: float64","0     0.015980
1     0.015980
2    -0.314278
3    -0.322268
4    -0.881576
        ...   
95    1.307716
96    0.623229
97    0.332922
98    0.021307
99   -0.327595
Length: 100, dtype: float64","0     0.013317
1     0.013317
2     0.170456
3     0.284981
4     0.844289
        ...   
95   -2.157332
96   -1.582043
97   -0.868259
98    0.135832
99    0.647200
Length: 100, dtype: float64",walking
28,"0    -0.373788
1    -0.373788
2     0.076140
3     5.334237
4     4.234907
        ...   
95    0.533963
96    1.976769
97    1.537546
98    0.834960
99    0.312292
Length: 100, dtype: float64","0     0.248056
1     0.248056
2    -1.703104
3    -1.646148
4    -5.382083
        ...   
95   -2.800479
96   -1.326600
97    0.989398
98    3.292181
99    4.335424
Length: 100, dtype: float64","0     0.164594
1     0.164594
2     0.803796
3     0.294877
4    -0.529088
        ...   
95   -0.431100
96   -0.797436
97   -0.435478
98    0.423278
99    0.790915
Length: 100, dtype: float64","0    -0.143822
1    -0.143822
2     0.026634
3    -3.172077
4    -1.371637
        ...   
95    0.308951
96    0.037287
97   -0.234377
98   -0.101208
99   -0.053267
Length: 100, dtype: float64","0    -0.183773
1    -0.183773
2    -0.620566
3    -0.649863
4     0.511368
        ...   
95    0.255684
96    0.103872
97   -0.569962
98   -0.543328
99   -0.327595
Length: 100, dtype: float64","0    -0.015980
1    -0.015980
2    -3.941791
3    -4.258733
4    -3.909831
        ...   
95    0.532675
96    1.225151
97    1.731192
98    1.470182
99    0.745744
Length: 100, dtype: float64",walking
29,"0     0.118553
1     0.118553
2    -0.545332
3    -1.178455
4    -1.178455
        ...   
95    0.661507
96    1.294867
97    1.294867
98    1.441939
99    1.441939
Length: 100, dtype: float64","0     0.419456
1     0.419456
2     0.371223
3    -2.048042
4    -2.048042
        ...   
95    0.200829
96    1.906223
97    1.906223
98    5.230513
99    5.230513
Length: 100, dtype: float64","0    -0.283447
1    -0.283447
2     0.707172
3     0.797323
4     0.797323
        ...   
95   -0.091983
96    0.258126
97    0.258126
98    0.823864
99    0.823864
Length: 100, dtype: float64","0     0.135832
1     0.135832
2     0.159802
3     0.274327
4     0.274327
        ...   
95    1.230478
96    0.548655
97    0.548655
98    0.245030
99    0.245030
Length: 100, dtype: float64","0    -0.079901
1    -0.079901
2    -0.090555
3    -0.141159
4    -0.141159
        ...   
95   -0.601922
96   -0.990775
97   -0.990775
98   -0.743081
99   -0.743081
Length: 100, dtype: float64","0     0.050604
1     0.050604
2     0.474080
3     0.271664
4     0.271664
        ...   
95    1.709885
96    1.970896
97    1.970896
98    0.125179
99    0.125179
Length: 100, dtype: float64",walking
30,"0     -0.771623
1     -0.771623
2     -2.323824
3     -2.752338
4     -2.450970
        ...    
95    15.834576
96    29.131315
97    22.862198
98    17.441282
99     7.191927
Length: 100, dtype: float64","0      0.372042
1      0.372042
2     -0.296031
3     -2.830068
4     -4.697720
        ...    
95    11.694780
96   -21.583090
97    -3.743760
98    -9.064290
99   -11.497003
Length: 100, dtype: float64","0     -0.145753
1     -0.145753
2      1.715016
3      1.941302
4      1.272646
        ...    
95   -12.528547
96   -20.727003
97     5.725987
98     3.068515
99     2.395642
Length: 100, dtype: float64","0    -0.031960
1    -0.031960
2     0.383526
3     0.732428
4     0.047941
        ...   
95   -6.442698
96   -5.475894
97   -2.261203
98   -0.897557
99    0.556645
Length: 100, dtype: float64","0     0.167792
1     0.167792
2     0.229050
3     0.378199
4    -0.386189
        ...   
95   -1.608677
96    6.533253
97   -4.993824
98   -2.285174
99   -1.318369
Length: 100, dtype: float64","0     -0.362219
1     -0.362219
2     -0.239704
3      0.684487
4      1.890995
        ...    
95    -4.615624
96   -20.430730
97    -4.168178
98    -4.237426
99    -1.099973
Length: 100, dtype: float64",badminton
31,"0      0.130669
1      0.130669
2      0.068821
3      1.076776
4      1.106951
        ...    
95     0.019402
96    10.997360
97     5.448675
98     3.880618
99    14.769772
Length: 100, dtype: float64","0     -0.119724
1     -0.119724
2     -4.083609
3     -4.857832
4     -4.325750
        ...    
95   -12.302016
96   -10.183113
97    11.008286
98     1.651236
99    14.047495
Length: 100, dtype: float64","0     -1.019916
1     -1.019916
2      5.390252
3      4.578098
4      2.305553
        ...    
95   -11.038343
96    -6.381850
97    -1.559702
98    -3.174812
99    -8.102727
Length: 100, dtype: float64","0     0.684487
1     0.684487
2     0.394179
3     1.201181
4     3.462384
        ...   
95   -0.327595
96    6.698382
97    4.032346
98    0.687150
99    2.357085
Length: 100, dtype: float64","0     0.290308
1     0.290308
2     0.617902
3     1.688578
4     2.900413
        ...   
95   -0.226387
96   -4.269386
97   -1.962906
98   -1.725865
99   -0.540665
Length: 100, dtype: float64","0     0.679160
1     0.679160
2     1.595360
3     2.042807
4     2.807195
        ...   
95   -1.225151
96    5.699617
97    5.566449
98    1.560736
99    1.925618
Length: 100, dtype: float64",badminton
32,"0     -0.592124
1     -0.592124
2      0.330361
3      0.834415
4      2.385987
        ...    
95    18.863441
96    -2.562504
97     2.052066
98    -0.427342
99    -0.427342
Length: 100, dtype: float64","0     -0.392740
1     -0.392740
2      0.144771
3     -0.359371
4      0.866971
        ...    
95   -23.487123
96    -1.066755
97    -0.253191
98     0.664755
99     0.664755
Length: 100, dtype: float64","0     -1.411327
1     -1.411327
2     -0.982163
3     -0.141869
4      0.073025
        ...    
95    16.160149
96     2.362960
97     1.181257
98     0.418198
99     0.418198
Length: 100, dtype: float64","0    -0.306288
1    -0.306288
2    -0.133169
3     0.210406
4    -0.239704
        ...   
95   -3.987069
96    0.471417
97   -1.123943
98   -1.249122
99   -1.249122
Length: 100, dtype: float64","0     0.354229
1     0.354229
2     0.221060
3     0.173119
4     0.905547
        ...   
95   -3.494345
96    1.880341
97    0.713784
98    0.889566
99    0.889566
Length: 100, dtype: float64","0    -0.143822
1    -0.143822
2     0.213070
3     0.311615
4     1.137260
        ...   
95   -1.432895
96    2.527540
97    1.667271
98    1.025398
99    1.025398
Length: 100, dtype: float64",badminton
33,"0    -0.166323
1    -0.166323
2    -0.227300
3     0.081961
4     2.985319
        ...   
95    7.097770
96    5.988524
97    6.835404
98    3.845880
99    3.845880
Length: 100, dtype: float64","0     0.768712
1     0.768712
2    -0.677960
3    -1.704300
4    -4.782449
        ...   
95    3.058366
96    0.941732
97    0.185777
98    0.685320
99    0.685320
Length: 100, dtype: float64","0     -0.344511
1     -0.344511
2     -1.588044
3     -1.705492
4     -0.595928
        ...    
95    -1.437977
96    -5.033005
97    -4.122738
98   -12.871810
99   -12.871810
Length: 100, dtype: float64","0     0.218397
1     0.218397
2     2.141352
3     2.189292
4     2.375728
        ...   
95   -3.251978
96   -1.251785
97   -0.732428
98   -2.863126
99   -2.863126
Length: 100, dtype: float64","0     0.135832
1     0.135832
2     0.250357
3    -0.178446
4    -0.359555
        ...   
95    2.817848
96    5.936657
97    5.694291
98    8.536109
99    8.536109
Length: 100, dtype: float64","0     0.162466
1     0.162466
2     1.808430
3     1.957579
4     2.815185
        ...   
95    6.091133
96    2.090747
97   -0.346238
98    2.413016
99    2.413016
Length: 100, dtype: float64",badminton
34,"0      0.052231
1      0.052231
2     -0.548047
3     -0.012414
4      1.011521
        ...    
95     0.644979
96     3.540639
97    11.749453
98     1.144650
99    17.649460
Length: 100, dtype: float64","0     -0.730486
1     -0.730486
2      0.707006
3      0.191957
4     -0.936402
        ...    
95    -7.254929
96    -5.886849
97    -1.847987
98    13.558000
99     5.701700
Length: 100, dtype: float64","0    -0.518104
1    -0.518104
2    -1.179430
3    -0.792904
4    -0.974097
        ...   
95   -1.321633
96   -3.497949
97    1.932888
98    3.231390
99    2.663500
Length: 100, dtype: float64","0    -0.159802
1    -0.159802
2    -0.239704
3    -0.101208
4    -0.013317
        ...   
95    0.708457
96    0.002663
97    2.471610
98    2.820512
99   -0.522021
Length: 100, dtype: float64","0    -0.045277
1    -0.045277
2     0.023970
3     0.205080
4     0.191763
        ...   
95   -2.514224
96   -3.821940
97   -5.081715
98   -4.724823
99   -3.640830
Length: 100, dtype: float64","0     -0.029297
1     -0.029297
2      0.298298
3      0.119852
4      0.101208
        ...    
95     0.721774
96     2.085421
97     1.779133
98    -0.058594
99   -13.335506
Length: 100, dtype: float64",badminton
35,"0      1.102297
1      1.102297
2      0.732385
3     -0.920942
4     -0.920942
        ...    
95    -0.280290
96    -0.280290
97    -1.362502
98     2.849978
99    15.885976
Length: 100, dtype: float64","0    -1.790773
1    -1.790773
2     0.661191
3     4.488292
4     4.488292
        ...   
95    3.982322
96    3.982322
97    0.859302
98   -2.920563
99   -2.012929
Length: 100, dtype: float64","0      0.001413
1      0.001413
2     -1.579566
3     -2.274492
4     -2.274492
        ...    
95     2.949889
96     2.949889
97    -0.329923
98   -12.358777
99    -5.047484
Length: 100, dtype: float64","0     0.258347
1     0.258347
2    -0.127842
3     0.564635
4     0.564635
        ...   
95   -0.157139
96   -0.157139
97   -0.844289
98    0.599259
99    4.740803
Length: 100, dtype: float64","0     -0.165129
1     -0.165129
2     -0.167792
3     -0.298298
4     -0.298298
        ...    
95     0.314278
96     0.314278
97     0.522021
98     0.775041
99   -12.682981
Length: 100, dtype: float64","0      0.516694
1      0.516694
2     -0.588605
3     -1.462192
4     -1.462192
        ...    
95     0.218397
96     0.218397
97    -0.300961
98    -0.306288
99    13.948082
Length: 100, dtype: float64",badminton
36,"0      1.686827
1      1.686827
2      0.882479
3     -1.349818
4     -2.882074
        ...    
95     8.141355
96     1.991850
97     6.013556
98     6.013556
99    16.020191
Length: 100, dtype: float64","0    -3.375054
1    -3.375054
2     1.149305
3    -3.585759
4    -5.521821
        ...   
95    5.115477
96    4.248501
97    8.449398
98    8.449398
99   -3.969757
Length: 100, dtype: float64","0     -1.295042
1     -1.295042
2     -0.973728
3     -0.839587
4     -5.010687
        ...    
95     0.547058
96     1.087711
97   -14.311602
98   -14.311602
99   -10.551959
Length: 100, dtype: float64","0    -0.711121
1    -0.711121
2    -1.861697
3     1.981549
4     3.350523
        ...   
95   -4.668892
96   -4.469139
97   -0.849616
98   -0.849616
99    0.868259
Length: 100, dtype: float64","0      0.013317
1      0.013317
2      0.205080
3      0.346238
4     -1.736519
        ...    
95     5.579765
96     6.400084
97     6.892808
98     6.892808
99   -10.858570
Length: 100, dtype: float64","0    -0.207743
1    -0.207743
2     0.114525
3     0.474080
4     0.418150
        ...   
95   -1.305053
96   -2.351758
97   -0.149149
98   -0.149149
99   -5.459914
Length: 100, dtype: float64",badminton
37,"0     1.142016
1     1.142016
2     0.840727
3    -0.013852
4    -0.117969
        ...   
95    1.422936
96    1.268257
97    1.268257
98    0.327786
99    0.327786
Length: 100, dtype: float64","0     1.018433
1     1.018433
2    -2.015249
3    -0.923550
4    -0.230842
        ...   
95   -1.792333
96   -1.155381
97   -1.155381
98   -0.120654
99   -0.120654
Length: 100, dtype: float64","0     0.677593
1     0.677593
2    -0.742828
3    -0.614269
4    -2.228961
        ...   
95    2.575450
96    3.632890
97    3.632890
98    1.350160
99    1.350160
Length: 100, dtype: float64","0     0.175783
1     0.175783
2     1.611340
3     1.222488
4     0.854943
        ...   
95   -0.101208
96    0.591269
97    0.591269
98   -0.442120
99   -0.442120
Length: 100, dtype: float64","0    -0.460763
1    -0.460763
2    -1.358320
3    -0.769715
4    -0.556645
        ...   
95    1.214498
96    1.869688
97    1.869688
98    3.526305
99    3.526305
Length: 100, dtype: float64","0     0.679160
1     0.679160
2     2.615432
3     1.675261
4     1.321033
        ...   
95    0.348902
96    0.599259
97    0.599259
98    1.472845
99    1.472845
Length: 100, dtype: float64",badminton
38,"0    -0.396060
1    -0.396060
2    -0.268022
3     0.353698
4     0.019509
        ...   
95    0.685694
96    1.015222
97    0.873364
98   -0.005607
99   -0.005607
Length: 100, dtype: float64","0    -0.686878
1    -0.686878
2     0.103510
3     0.251851
4     0.679806
        ...   
95   -2.105519
96   -2.411690
97   -2.683228
98   -2.185891
99   -2.185891
Length: 100, dtype: float64","0    -0.350328
1    -0.350328
2    -1.281489
3    -1.933435
4    -1.080710
        ...   
95    1.165885
96    0.087346
97    0.555119
98    1.224647
99    1.224647
Length: 100, dtype: float64","0    -0.157139
1    -0.157139
2     0.274327
3    -0.311615
4    -0.122515
        ...   
95    0.261010
96   -0.058594
97    0.431466
98    1.102636
99    1.102636
Length: 100, dtype: float64","0    -0.058594
1    -0.058594
2    -0.471417
3    -0.535338
4    -0.450110
        ...   
95   -0.793685
96   -0.697804
97   -0.617902
98   -1.273092
99   -1.273092
Length: 100, dtype: float64","0     0.151812
1     0.151812
2     0.332922
3     0.082565
4     0.114525
        ...   
95    0.013317
96    0.023970
97    0.319605
98    0.977458
99    0.977458
Length: 100, dtype: float64",badminton
39,"0     1.211973
1     1.211973
2    -0.605948
3     0.476761
4     2.502923
        ...   
95    1.239144
96    0.261434
97    2.490353
98    4.122120
99    3.169270
Length: 100, dtype: float64","0    -0.247107
1    -0.247107
2    -3.855673
3    -5.442304
4     0.558606
        ...   
95   -6.142442
96    0.205915
97   -0.878765
98    0.911620
99    0.826934
Length: 100, dtype: float64","0     0.327837
1     0.327837
2     7.113185
3     3.593358
4    -1.671816
        ...   
95    0.028264
96   -0.224944
97   -0.597296
98   -0.465409
99   -0.362036
Length: 100, dtype: float64","0     0.058594
1     0.058594
2     0.900220
3    -0.865596
4     0.250357
        ...   
95   -2.309144
96   -0.524684
97    0.111862
98    0.535338
99   -0.298298
Length: 100, dtype: float64","0    -0.527348
1    -0.527348
2    -1.326360
3    -0.993438
4    -0.921527
        ...   
95    1.472845
96    0.769715
97   -0.117188
98    0.197090
99    0.250357
Length: 100, dtype: float64","0    -0.042614
1    -0.042614
2    -0.095881
3     1.129270
4     1.811093
        ...   
95   -0.998765
96    0.157139
97   -0.050604
98    0.442120
99    0.428803
Length: 100, dtype: float64",badminton
0,"0     -0.740653
1     -0.740653
2     10.208449
3      2.867009
4     -0.194301
        ...    
95    -0.094480
96    -0.094480
97    -0.329182
98    -0.287192
99    -0.287192
Length: 100, dtype: float64","0     0.756509
1     0.756509
2    -9.216970
3    -5.977115
4    -3.711996
        ...   
95    0.090568
96    0.090568
97   -0.046058
98    0.098725
99    0.098725
Length: 100, dtype: float64","0     -0.275809
1     -0.275809
2    -12.378901
3     -6.540994
4     -0.795126
        ...    
95    -0.173679
96    -0.173679
97     0.035301
98     0.026540
99     0.026540
Length: 100, dtype: float64","0     -0.423476
1     -0.423476
2    -14.699153
3      5.561122
4     -1.728529
        ...    
95     0.000000
96     0.000000
97    -0.021307
98     0.002663
99     0.002663
Length: 100, dtype: float64","0     0.013317
1     0.013317
2     4.578337
3     2.178639
4    -1.054696
        ...   
95   -0.010653
96   -0.010653
97   -0.023970
98   -0.023970
99   -0.023970
Length: 100, dtype: float64","0     0.013317
1     0.013317
2    -5.055081
3    -1.624657
4    -0.276991
        ...   
95    0.000000
96    0.000000
97    0.029297
98    0.023970
99    0.023970
Length: 100, dtype: float64",standing
1,"0    -0.247409
1    -0.247409
2    -0.771290
3    -0.576154
4    -0.368484
        ...   
95   -0.299483
96   -0.371697
97   -0.408751
98   -0.408751
99   -0.376306
Length: 100, dtype: float64","0    -0.060459
1    -0.060459
2    -0.047618
3     0.230698
4     0.301010
        ...   
95   -0.282228
96    0.041625
97    0.247650
98    0.247650
99    0.273053
Length: 100, dtype: float64","0    -0.608565
1    -0.608565
2    -0.294411
3    -0.810362
4    -0.211506
        ...   
95    0.045018
96   -0.010239
97   -0.058686
98   -0.058686
99   -0.179022
Length: 100, dtype: float64","0    -0.023970
1    -0.023970
2    -0.269001
3     0.007990
4     0.274327
        ...   
95   -0.002663
96    0.023970
97    0.090555
98    0.090555
99    0.047941
Length: 100, dtype: float64","0     0.101208
1     0.101208
2     0.111862
3    -0.077238
4    -0.069248
        ...   
95    0.002663
96    0.053267
97    0.047941
98    0.047941
99    0.023970
Length: 100, dtype: float64","0     0.071911
1     0.071911
2     0.135832
3     0.066584
4     0.007990
        ...   
95   -0.005327
96    0.093218
97    0.093218
98    0.093218
99    0.079901
Length: 100, dtype: float64",standing
2,"0    -0.663284
1    -0.663284
2     5.393924
3     3.116671
4     1.886366
        ...   
95   -0.140585
96    0.152261
97   -0.538632
98   -0.096331
99   -0.224677
Length: 100, dtype: float64","0     0.273010
1     0.273010
2    -3.079673
3    -6.221935
4    -4.779886
        ...   
95    0.067746
96   -0.200440
97    0.265703
98    0.480279
99    0.542160
Length: 100, dtype: float64","0    -0.160963
1    -0.160963
2    -3.175911
3    -1.572557
4    -1.279520
        ...   
95    0.043841
96    0.032910
97    0.058508
98    0.026352
99   -0.234033
Length: 100, dtype: float64","0    -0.245030
1    -0.245030
2    -6.408074
3    -2.234570
4    -1.291736
        ...   
95    0.167792
96    0.237040
97    0.005327
98    0.053267
99   -0.109198
Length: 100, dtype: float64","0    -0.077238
1    -0.077238
2     0.471417
3     2.152005
4     0.383526
        ...   
95    0.000000
96   -0.031960
97    0.007990
98    0.050604
99    0.079901
Length: 100, dtype: float64","0    -0.018644
1    -0.018644
2    -3.592890
3    -3.036245
4    -2.138688
        ...   
95   -0.117188
96    0.181109
97    0.159802
98   -0.013317
99   -0.007990
Length: 100, dtype: float64",standing
3,"0    -1.088052
1    -1.088052
2    -0.683620
3    -0.683620
4     1.732735
        ...   
95   -0.135475
96   -0.177172
97   -0.263701
98   -0.219259
99   -0.219259
Length: 100, dtype: float64","0     0.183832
1     0.183832
2    -2.909047
3    -2.909047
4     0.171792
        ...   
95    0.114351
96    0.178846
97    0.017900
98    0.005191
99    0.005191
Length: 100, dtype: float64","0    -0.260871
1    -0.260871
2     1.507042
3     1.507042
4     0.346195
        ...   
95   -0.045947
96   -0.020852
97   -0.034372
98   -0.026516
99   -0.026516
Length: 100, dtype: float64","0    -0.284981
1    -0.284981
2     0.415486
3     0.415486
4     0.482070
        ...   
95   -0.023970
96    0.007990
97   -0.007990
98   -0.015980
99   -0.015980
Length: 100, dtype: float64","0     0.487397
1     0.487397
2     0.013317
3     0.013317
4     0.202416
        ...   
95    0.010653
96    0.013317
97    0.026634
98    0.010653
99    0.010653
Length: 100, dtype: float64","0     1.081329
1     1.081329
2     0.820319
3     0.820319
4     1.603350
        ...   
95   -0.026634
96   -0.061258
97   -0.074574
98   -0.042614
99   -0.042614
Length: 100, dtype: float64",standing
4,"0     0.354481
1     0.354481
2     0.449142
3     1.223386
4     1.405520
        ...   
95   -0.133455
96   -0.087597
97   -0.231904
98   -0.244251
99   -0.128077
Length: 100, dtype: float64","0    -0.567671
1    -0.567671
2    -1.899854
3     0.230968
4     1.358102
        ...   
95   -1.426817
96   -1.621159
97   -0.871381
98   -0.233980
99    0.319523
Length: 100, dtype: float64","0    -0.084270
1    -0.084270
2     0.913056
3    -0.212025
4     0.322977
        ...   
95    0.361758
96    0.233795
97   -0.045610
98   -0.156621
99   -0.261158
Length: 100, dtype: float64","0    -0.223723
1    -0.223723
2     0.692477
3     0.636546
4     0.687150
        ...   
95    0.037287
96   -0.053267
97    0.095881
98    0.175783
99    0.253020
Length: 100, dtype: float64","0    -0.247694
1    -0.247694
2     0.149149
3     0.149149
4     0.548655
        ...   
95    0.021307
96    0.074574
97    0.047941
98    0.015980
99   -0.023970
Length: 100, dtype: float64","0     0.050604
1     0.050604
2     0.849616
3     1.249122
4     1.278419
        ...   
95   -0.564635
96   -0.191763
97    0.346238
98    0.447447
99    0.418150
Length: 100, dtype: float64",standing
5,"0    -1.182602
1    -0.765368
2    -0.519464
3     0.076611
4     1.375376
        ...   
95   -0.262798
96   -0.313570
97   -0.228093
98   -0.228093
99   -0.078168
Length: 100, dtype: float64","0    -0.612973
1    -2.759566
2    -3.213704
3    -1.247078
4     0.449749
        ...   
95   -0.353974
96   -0.387139
97   -0.267430
98   -0.267430
99    0.416317
Length: 100, dtype: float64","0     0.167450
1     0.414760
2     0.907956
3    -0.261286
4    -0.759054
        ...   
95    0.053371
96   -0.111106
97   -0.117719
98   -0.117719
99   -0.012027
Length: 100, dtype: float64","0    -0.276991
1    -0.508704
2    -0.077238
3     0.167792
4     0.362219
        ...   
95   -0.122515
96   -0.069248
97    0.053267
98    0.053267
99    0.039951
Length: 100, dtype: float64","0    -0.082565
1    -0.114525
2    -0.261010
3    -0.066584
4    -0.173119
        ...   
95    0.079901
96    0.061258
97   -0.021307
98   -0.021307
99   -0.031960
Length: 100, dtype: float64","0    -0.213070
1    -0.426140
2     0.215733
3     0.953487
4     1.355657
        ...   
95   -0.135832
96   -0.018644
97    0.111862
98    0.111862
99    0.226387
Length: 100, dtype: float64",standing
6,"0     1.275129
1     1.275129
2    -0.273185
3    -0.234064
4    -0.234064
        ...   
95   -0.386089
96   -0.424644
97   -0.169657
98   -0.255162
99   -0.265398
Length: 100, dtype: float64","0    -1.024406
1    -1.024406
2     0.095152
3     0.695333
4     0.695333
        ...   
95    0.117006
96    0.049007
97    0.111673
98    0.143052
99    0.092561
Length: 100, dtype: float64","0    -0.545722
1    -0.545722
2     0.023203
3     0.202313
4     0.202313
        ...   
95   -0.044389
96   -0.020808
97   -0.072994
98   -0.036449
99    0.039115
Length: 100, dtype: float64","0    -0.463427
1    -0.463427
2     0.042614
3     0.274327
4     0.274327
        ...   
95    0.000000
96   -0.010653
97   -0.029297
98    0.002663
99    0.039951
Length: 100, dtype: float64","0    -0.367545
1    -0.367545
2    -0.109198
3    -0.069248
4    -0.069248
        ...   
95    0.000000
96   -0.005327
97   -0.013317
98   -0.007990
99    0.000000
Length: 100, dtype: float64","0    -0.159802
1    -0.159802
2     0.183773
3     0.143822
4     0.143822
        ...   
95    0.000000
96   -0.007990
97   -0.015980
98    0.010653
99   -0.010653
Length: 100, dtype: float64",standing
7,"0    -0.352746
1    -0.352746
2    -1.354561
3    -0.399010
4    -0.091743
        ...   
95   -0.163367
96   -0.323758
97   -0.282924
98   -0.074693
99   -0.122423
Length: 100, dtype: float64","0     0.316845
1     0.316845
2     0.490525
3    -0.174803
4    -0.206126
        ...   
95   -0.881745
96   -0.545706
97   -0.082683
98    0.988984
99    1.046733
Length: 100, dtype: float64","0    -0.473779
1    -0.473779
2     1.454261
3     1.292074
4     1.716458
        ...   
95   -0.016690
96   -0.105972
97   -0.119300
98   -0.055604
99    0.099673
Length: 100, dtype: float64","0    -0.327595
1    -0.327595
2    -0.269001
3     0.151812
4    -0.215733
        ...   
95    0.066584
96    0.050604
97    0.055931
98    0.042614
99    0.069248
Length: 100, dtype: float64","0     0.106535
1     0.106535
2     0.021307
3    -0.226387
4    -0.266337
        ...   
95    0.066584
96    0.007990
97   -0.045277
98   -0.138495
99   -0.114525
Length: 100, dtype: float64","0     0.197090
1     0.197090
2     0.460763
3     0.231713
4     0.247694
        ...   
95   -0.119852
96    0.226387
97    0.356892
98    0.263674
99   -0.023970
Length: 100, dtype: float64",standing
